,3class
0,0
1,1
2,0
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,-1
11,0
12,-1
13,0
14,1
15,0
16,0
17,0
18,1
19,1
20,1
21,1
22,0
23,0
24,-1
25,0
26,0
27,1
28,0
29,1
30,0
31,0
32,0
33,-1
34,0
35,-1
36,0
37,0
38,1
39,0
40,0
41,1
42,1
43,1
44,0
45,0
46,0
47,0
48,-1
49,1
50,-1
51,0
52,1
53,0
54,1
55,1
56,0
57,0
58,-1
59,-1
60,0
61,1
62,0
63,-1
64,0
65,0
66,0
67,0
68,0
69,1
70,0
71,1
72,0
73,0
74,-1
75,0
76,-1
77,-1
78,0
79,1
80,1
81,0
82,-1
83,0
84,0
85,1
86,0
87,0
88,0
89,-1
90,1
91,0
92,0
93,1
94,1
95,0
96,1
97,0
98,0
99,-1
100,0
101,-1
102,1
103,1
104,0
105,-1
106,0
107,-1
108,-1
109,0
110,1
111,0
112,0
113,1
114,0
115,-1
116,0
117,0
118,0
119,0
120,-1
121,0
122,0
123,0
124,1
125,0
126,0
127,-1
128,0
129,1
130,1
131,1
132,-1
133,0
134,1
135,0
136,-1
137,1
138,0
139,-1
140,0
141,0
142,0
143,0
144,1
145,0
146,1
147,1
148,0
149,1
150,1
151,1
152,0
153,0
154,0
155,0
156,-1
157,0
158,0
159,1
160,0
161,0
162,0
163,1
164,0
165,1
166,0
167,1
168,0
169,0
170,0
171,1
172,1
173,1
174,0
175,0
176,0
177,-1
178,-1
179,0
180,1
181,0
182,-1
183,0
184,0
185,-1
186,0
187,0
188,0
189,-1
190,0
191,1
192,1
193,1
194,0
195,0
196,1
197,1
198,0
199,0
200,1
201,1
202,0
203,0
204,1
205,0
206,-1
207,0
208,1
209,1
210,0
211,0
212,0
213,-1
214,0
215,0
216,-1
217,0
218,0
219,-1
220,-1
221,0
222,0
223,0
224,1
225,0
226,0
227,1
228,0
229,0
230,0
231,-1
232,0
233,0
234,-1
235,0
236,0
237,0
238,0
239,0
240,0
241,-1
242,0
243,-1
244,0
245,0
246,-1
247,0
248,0
249,0
250,0
251,-1
252,0
253,0
254,1
255,-1
256,1
257,1
258,0
259,-1
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,1
268,0
269,0
270,0
271,0
272,-1
273,-1
274,1
275,0
276,1
277,0
278,1
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,-1
287,0
288,-1
289,0
290,0
291,0
292,0
293,-1
294,0
295,0
296,-1
297,0
298,1
299,1
300,1
301,1
302,1
303,0
304,-1
305,0
306,0
307,0
308,0
309,0
310,0
311,1
312,0
313,1
314,0
315,0
316,0
317,1
318,1
319,1
320,0
321,0
322,1
323,0
324,0
325,-1
326,0
327,0
328,0
329,-1
330,-1
331,0
332,0
333,0
334,0
335,0
336,1
337,0
338,1
339,-1
340,0
341,1
342,-1
343,0
344,-1
345,0
346,1
347,1
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,-1
356,1
357,0
358,-1
359,0
360,0
361,-1
362,1
363,0
364,0
365,0
366,0
367,0
368,-1
369,-1
370,-1
371,0
372,1
373,0
374,1
375,1
376,1
377,1
378,-1
379,1
380,-1
381,1
382,1
383,0
384,0
385,1
386,1
387,1
388,0
389,0
390,0
391,1
392,0
393,0
394,-1
395,0
396,0
397,1
398,1
399,0
400,1
401,0
402,0
403,0
404,1
405,0
406,1
407,0
408,0
409,0
410,1
411,1
412,0
413,0
414,-1
415,0
416,1
417,1
418,0
419,0
420,0
421,1
422,1
423,0
424,1
425,1
426,1
427,1
428,-1
429,-1
430,-1
431,1
432,-1
433,1
434,-1
435,0
436,1
437,1
438,0
439,1
440,1
441,1
442,1
443,0
444,1
445,1
446,0
447,0
448,0
449,1
450,0
451,0
452,-1
453,1
454,1
455,-1
456,-1
457,1
458,0
459,1
460,1
461,0
462,0
463,1
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,1
472,-1
473,-1
474,0
475,0
476,1
477,0
478,-1
479,0
480,1
481,1
482,0
483,0
484,1
485,1
486,0
487,0
488,-1
489,1
490,-1
491,0
492,1
493,1
494,0
495,0
496,0
497,-1
498,1
499,-1
500,0
501,-1
502,-1
503,-1
504,1
505,1
506,1
507,0
508,-1
509,-1
510,-1
511,0
512,-1
513,-1
514,-1
515,-1
516,0
517,0
518,-1
519,-1
520,0
521,0
522,-1
523,0
524,0
525,0
526,0
527,1
528,0
529,0
530,0
531,-1
532,0
533,-1
534,0
535,0
536,0
537,0
538,-1
539,1
540,1
541,1
542,0
543,0
544,0
545,1
546,-1
547,0
548,-1
549,0
550,0
551,1
552,1
553,0
554,-1
555,0
556,0
557,1
558,1
559,1
560,-1
561,1
562,0
563,0
564,1
565,0
566,1
567,1
568,1
569,0
570,1
571,-1
572,1
573,0
574,0
575,0
576,1
577,1
578,1
579,1
580,0
581,0
582,1
583,-1
584,1
585,1
586,1
587,0
588,0
589,-1
590,-1
591,0
592,-1
593,0
594,0
595,1
596,1
597,-1
598,-1
599,1
600,-1
601,-1
602,1
603,-1
604,-1
605,1
606,-1
607,-1
608,0
609,-1
610,-1
611,-1
612,1
613,1
614,-1
615,-1
616,-1
617,-1
618,-1
619,-1
620,-1
621,1
622,-1
623,-1
624,1
625,1
626,1
627,1
628,-1
629,-1
630,-1
631,-1
632,-1
633,-1
634,-1
635,-1
636,1
637,-1
638,-1
639,-1
640,1
641,-1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,-1
651,-1
652,1
653,-1
654,-1
655,-1
656,1
657,-1
658,-1
659,1
660,1
661,1
662,1
663,1
664,-1
665,1
666,1
667,-1
668,1
669,1
670,-1
671,-1
672,1
673,1
674,-1
675,-1
676,1
677,1
678,1
679,1
680,0
681,-1
682,1
683,1
684,0
685,-1
686,0
687,1
688,1
689,1
690,-1
691,-1
692,0
693,-1
694,-1
695,1
696,1
697,0
698,1
699,-1
700,1
701,1
702,1
703,1
704,1
705,-1
706,-1
707,1
708,-1
709,-1
710,1
711,-1
712,-1
713,-1
714,1
715,-1
716,1
717,1
718,1
719,0
720,1
721,1
722,0
723,-1
724,-1
725,-1
726,-1
727,-1
728,-1
729,-1
730,0
731,-1
732,-1
733,-1
734,-1
735,1
736,1
737,-1
738,-1
739,1
740,0
741,0
742,-1
743,-1
744,1
745,0
746,-1
747,-1
748,-1
749,1
750,1
751,1
752,1
753,-1
754,0
755,-1
756,-1
757,-1
758,-1
759,-1
760,-1
761,-1
762,-1
763,-1
764,-1
765,-1
766,1
767,-1
768,0
769,0
770,1
771,1
772,-1
773,-1
774,-1
775,-1
776,-1
777,-1
778,-1
779,-1
780,-1
781,-1
782,1
783,-1
784,1
785,0
786,1
787,-1
788,1
789,-1
790,-1
791,-1
792,-1
793,-1
794,-1
795,-1
796,-1
797,-1
798,-1
799,-1
800,-1
801,1
802,0
803,0
804,1
805,-1
806,0
807,0
808,1
809,1
810,1
811,-1
812,1
813,-1
814,-1
815,1
816,-1
817,-1
818,1
819,-1
820,0
821,-1
822,0
823,1
824,1
825,-1
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,-1
836,0
837,1
838,1
839,1
840,1
841,-1
842,1
843,1
844,1
845,1
846,-1
847,1
848,1
849,-1
850,-1
851,-1
852,-1
853,1
854,1
855,1
856,-1
857,1
858,0
859,1
860,1
861,1
862,-1
863,-1
864,0
865,-1
866,-1
867,1
868,1
869,1
870,1
871,0
872,-1
873,1
874,1
875,-1
876,-1
877,-1
878,-1
879,-1
880,-1
881,-1
882,1
883,1
884,1
885,1
886,0
887,1
888,-1
889,-1
890,-1
891,1
892,1
893,-1
894,1
895,-1
896,-1
897,1
898,-1
899,-1
900,1
901,-1
902,-1
903,-1
904,1
905,-1
906,1
907,1
908,1
909,1
910,1
911,0
912,-1
913,1
914,1
915,0
916,0
917,-1
918,-1
919,1
920,1
921,-1
922,-1
923,1
924,1
925,-1
926,1
927,1
928,0
929,1
930,1
931,-1
932,-1
933,1
934,1
935,-1
936,-1
937,-1
938,-1
939,1
940,1
941,1
942,-1
943,-1
944,-1
945,-1
946,-1
947,1
948,-1
949,1
950,-1
951,-1
952,0
953,-1
954,1
955,-1
956,-1
957,-1
958,0
959,1
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,-1
968,1
969,1
970,-1
971,-1
972,-1
973,1
974,1
975,1
976,-1
977,-1
978,1
979,-1
980,-1
981,-1
982,1
983,-1
984,-1
985,-1
986,1
987,-1
988,1
989,1
990,-1
991,-1
992,-1
993,-1
994,0
995,1
996,0
997,-1
998,0
999,-1
