,negative,text
10,-1,月末ミーティング終了。いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!
12,-1,シャンプーいきたい…
24,-1,投げかけたものは返ってくるので、なるべく良いものを投げていたいと思う。しかし時には叶わないことがある。そういったとき、自分は試されていると感じる。そしてたいていの場合、私はその試練に敗ける。
33,-1,眠いのに眠れない…
35,-1,自己否定感が強い人は他人も否定する。批判の多いのは、自分に自信がないと宣伝しているようなものだ。自己肯定の人は、周りがなにを言っても気にならない。それはそれと受け止めるのだ。
48,-1,メルヘンに憧れがち。現実を生きなければな。てか早く寝たい(>_<)!
50,-1,寒いなぁ〜鍋いこかな〜
58,-1,調子よくしゃべった翌日はたいてい凹む。そろそろキャラ統一すべきかなぁ。
59,-1,この性格の悪さを何とかしたい…
63,-1,結局、わがままなんだな。己の幼さが歯がゆい。
74,-1,やな季節が来たなぁ…
76,-1,憤る。憤る28さい。出家でもしなければこんな感情からは解放されないと思う。
77,-1,旅に出たい…
82,-1,ホームパーティー楽しすぎてお泊まりした帰り道。祭りのあとはいつも寂しい
89,-1,悲しくても辛くても、日々を生きなきゃいけなくて、そうしてうやむやにしながら生きていくんだなぁ。
99,-1,寒いってことに支配されて建設的な思考が奪われるから、冬は嫌い。
101,-1,なにいってんだか…
105,-1,似すぎ…笑
107,-1,「悪の教典」観てきた。体温と心拍の異常いまだやまず…握りしめすぎて手がしびれてる。
108,-1,好きな少年漫画をきかれて、「定番ですけどONE PIECEですかねぇ」と無難に答えてしまう私は臆病者です。趣味が片寄りすぎて公言できないんだ！
115,-1,久しぶりにヤツが来た。ちきしょう、油断してた…コルセット生活、再開!!(T_T)
120,-1,今日初めてアスリートみたいに腰に注射したんだけど、なかなか痛くて打つまえより痛くなったんだけど大丈夫なんだろーか
127,-1,忙しくて体痛いし眠いしゲームする余裕がない
132,-1,りあるキッズのメガネ久々に見た！前々からきづいてはいたけど、ますますあかん感じに…
136,-1,ぐさりと刺さっても、笑ってスルーするー。でもやっぱり気にして髪形変えたりする。
139,-1,今年初稽古。一時間前からいく気満々だったのに、五分前からめっちゃめんどくなってきた。
156,-1,マッサージいけばよかった…orz
177,-1,お腹いたい…
178,-1,寝込むたび、死について考える私は大袈裟でしょうか
182,-1,仕事をあまり休んだことがないので、すんなり休めるともう明日も明後日もいかなくて大丈夫なんじゃないかと思えてくる。まぁ実際、そーなんだろうけど。
185,-1,部屋の暖房が全然効かなくて寒い。28℃に設定してるのに…省エネの夏か。
189,-1,人にご馳走するのが苦手です。コーヒーもスマートにおごれない29歳…
206,-1,アラーム、サイレントモードでも鳴ってよ…歯医者寝過ごしたorz
213,-1,久々真面目にお稽古に行こうと思ったら、道具が根こそぎない。久々でそれはダメだろ〜っと躍起になってさがしてみたが、ない。気づけばもう30分遅刻している。ほんっと、どーしょーもねーなぁ。
216,-1,お店やっても、家族は養えない。今ここにある現実。
219,-1,眠くなった時に寝かせてくれよ!!やる気なんて出ねぇよ!!
220,-1,どこもかしこも明るいなぁ。この街は俺には眩しすぎるんだ…
231,-1,二日酔いです。すごく具合が悪いし、喉が痛い。声がでない。今日は五時からカラオケバトルなのに…
234,-1,寝る頃になると、目と鼻がムズムズ…目を閉じてもゴロゴロ… ちきしょう、また、私の睡眠を邪魔する輩が増えたと見える…
241,-1,ゆうべは遅くまで飲んで知らぬ間に寝てしまい、起きたら鼻がずるずる。歯医者に行ったら思いの外悪かったらしく麻酔されて半顔麻痺。さっきからくしゃみも止まらない。今日は初のインデアンカレーの予定だったけど、全くやる気がなくなった。
243,-1,就活用に撮ったぶりに証明写真を撮ったら、自分の顔の歪みっぷりに愕然としたので、左側で噛むことにします。
246,-1,毎度おなじみ後輩指導。またもきつい言い方をしてしまい、へこむなう。ご飯食べよ。
251,-1,男女問わず、気を許してる好きな人には、抱きついたり腕を組んだり、そーゆうところでしか愛情表現できないので、それを奪われるとなかなか困る。
255,-1,あー高飛びしたい。
259,-1,どーあがいたって自分からは逃げられないんだよね。ちっ！
272,-1,TSUTAYAの延滞料2400円。何やってんだろ…
273,-1,きっと、私みたいなだらしないヤツのおかげで儲かってるんだろうな。てか、このままだと私は一生儲かんないんだろうな。
286,-1,思い出し笑いならぬ思い出しくしゃみ！家にいたときより悪くなってるじゃないか！
288,-1,調子が悪いので病院行ってから行きます。って連絡いれて、そのまま夕方まで気絶して、結局休むってゆう、常套化してきているパターン。
293,-1,店の買い出しアップ。週末の梅田をナメてました。めちゃくちゃ疲れた…Orz
296,-2,あーもうなんてゆーかこう…、、出家したい。Orz
304,-1,速水もこみちをすごく久しぶりに見たんだけど、何かタイ人ぽくなってる…
325,-1,あぁっもうっ！山Pの歌う「サマーヌード」がイライラするっ！ カバーせんでいいやん!!(｀ロ´;)
329,-1,【速報】 しかも、その目的の店は月に一回の休みでした。 ど、どんくせぇ…(´д｀|||)
330,-1,〜でなければならない、に、追いかけられている。
339,-1,久々にはらわたが煮えているのですが、こーゆうとき、どーするんだっけ？ しょーもな過ぎるからガッと怒ってガッと忘れたい。
342,-1,休み明けはエグい。 明日も朝からエグい。 おやすみなさい。
344,-1,スキマ立ち見って…
355,-1,友達から、6日に地震来るから備えとけ、との連絡。何情報か知らんけど、彼女の言うことにはいつもどことなく説得力があるので、水と缶詰買ってきた。こわいなぁ。
358,-1,あと五分のところで受付時間に間に合った！ と思ったら、眼科が30分前に終わりましたとな。。。 やっと買ったチャリぶっとばしたのに… 一週間も我慢したのに…
361,-1,うわっ！今日の小倉さん、帽子の位置間違えてる！(゜ロ゜; 誰か教えてあげてー！
368,-1,今週はほんまにしんどかった。 休みの予定を励みに何とか持ち直すとか、通じませんでしたね。 とにかく眠い…
369,-1,お腹すいたし夜ご飯食べななぁ…思ったら、うそやん、昼も食べてないやん…
370,-1,【残念なお知らせ】 眠くて死にそうやからとりあえず何か食べて早く寝たいのに家には見事に何もない。
378,-1,己の本分を忘れない。 メモ…
380,-1,久々に、朝からカンヅメでお勉強。 疲れた…。ほんとーに疲れた…。まさかのプレゼンタイムで人前で喋るという拷問に遭い、この涼しいのに汗だくになり、精も根も尽き果てました。 しばらく賢者タイムに入ります。
394,-1,よく行くお店でオムライスをオーダーしたら、おっきなハートマークを描いてくれた。 嬉しかったけど、いやや〜と言ってしまった。 かくして私はまたひとつ、人の好意を踏みにじったのである。なーむー
414,-1,しましまんず池上が離婚した芸人としてテレビに出てる。 そこそこ男前やと思ってたのに、めっちゃくたびれて別人みたい。 離婚って色々消耗するって聞くけど、その結果なんかな。 こわい。
428,-1,毎週楽しみにしていた「昼顔」だけど、どんどん修羅場に近づいてきていて、前回くらいからすごいヤダ。 もう見たくないよー
429,-1,あーもうやだやだ！こわいよー！
430,-1,見終わって20分経つのにまだ引きずってる。 やっぱり修羅場は見るのも遭うのもイヤですね(；´_ゝ`)
432,-1,とったつもりのライブのチケットがとれてなかった。しかも完売。 ライブなんてなかなかいけないのに！もう、めっちゃいやや！
434,-1,訳あって朝まで飲んだその2時間後に電車に乗っている。 めっっ ちゃしんどい。あかん。
452,-1,不要品を整理しようと、まず、下駄箱の中身を全部だしたら靴が44足もあってゾッとしてる
455,-1,お酒ってさぁ、ほんと。なんなんだろ。
456,-1,すごく残念なことがあって、分かりやすく落胆してる。 残念だよぉぉぉー！とか、叫んだり。
472,-1,表でカラスがすごい鳴いてて怖い…
473,-1,今度はパトカー走りまくってる。 誰かなんかしてんの？怖いってば…
478,-1,人見知り治したい…(T_T)
488,-1,明日の朝帰るんだけど、起きたらあいつは動かなくなってるのかな。 やだなぁ
490,-1,結局、私は誰かに依存して生きている
497,-1,インフルエンザこわい。 四日間きっちりのたうち回った。 今朝になってやっと、人間の体温になった。 あと１日は出歩くなと言われてるけど、明日から仕事なんだがどうしよう
499,-1,お裁縫…
501,-1,部屋を片付け始めると、必ず途中から紙類とか引き出しの中の整理とかにはまってしまって、 かなり時間かけたあとにふと辺りを見回しても、やる前と変わってないし何なら余計に散らかってる印象。 ざっくり全体を料理する能力がほしい。色々な場面で。
502,-1,恋愛がなくてもあってもダメになる。 そんなわたしはダメ人間です
503,-1,精神的に自立しなくては…
508,-1,好きなものを好きといって何が悪いの
509,-1,うわ、、コインランドリーの乾燥機に、洗濯物入れっぱなしやん、、 て気づいた午前１時。 テンションさがる。
510,-1,しかも昨日もやん、、、 しっかりしろ、、
512,-1,別れたあとも自分と付き合ってた頃の写真をSNSのアイコンにしてた相手が、ある日違うアイコンに変えてるのに気づいたときはなんかショック。 別にいいけど…
513,-1,それなのにいち早くいいね！してくる感じ、理解不能。 別にいいけど…
514,-2,つかれた…もういやだ。 八時以降は家でくつろぐ時間でしょうが。
515,-1,長時間働かないと稼げないシステムから早く抜け出したい
518,-1,いまどうしてる？ ブレてます。
519,-1,福山さんの手前の駅まで戻る裏技使って一応乗れたけど、これからあのレベルまで乗り込んでくるのかと思うと恐ろしい… どうか皆さんわたしより先に降りてください…
522,-1,もうさぁ、いい加減、まともな大人になりたい。 口の聞き方も知らないチンピラです…私は。
531,-1,指曲がらんし胃きしむし、 もしかして、これ死ぬやつか？
533,-1,思えばいつも、今を生きてこなかった気がする。 過去にとらわれて、叶うかわからない未来を見て、今から目を背けている
538,-2,自分がめんどくさくてツライっす…
546,-1,引っ越しの記録。 靴と、スーツケース一個分の服。sold。 いちいちこんなことしてるから、全然はかどらない…。
548,-1,ものすごいリアルで怖い夢みた。 コンパかなんかで知り合ったインテリ男にストーカーされる夢。 見たこともない男やのに顔つきや服装、行動のディテールがリアルすぎてほんまに怖い。
554,-1,オーストラリア4ヶ月目。同じ家にいる若い日本男子が電話で誰かと話してる。「ここほんとつまんねえ早く帰りたいわ」ってさっきから聞いてりゃそらあんた程度の英語力でコミュ力もやる気もないやつにはつまんねえだろうよ ってかつまんなくしてるのは自分だって早く気づくか明日日本帰れ。
560,-1,役に立たない画数の多い語彙はたくさんあるのに、他人と繋がるためのやさしい言葉はスムーズに出てこない。 言葉は三角どころか角だらけだよ。
571,-1,人が、自分に興味がなくなる瞬間を見るのは辛いもんだ。ゆっくりと覚めていく様がわかるのも同じく。
583,-1,本物を目の当たりにすると自分の偽物度合いにも目が向いてしまってため息が出るけどそれでも日々を生きています
589,-1,新しい環境に立つことは、新しい自分を築くチャンスでもあるけれど、どうしても追いかけてくる自分の本質を直視するチャンスなのかもしれない
590,-1,自分が最も幸せを感じる1の事にたどり着くまでの、99がすごく辛い。滅多に来ないその1を追い求めなければ辛くはないのだけれど、99をこなす速度を緩めれば最高の時もまた遠ざかる。
592,-1,たまに、好きなことしてるから辛いことなんて全然ない、っていう人に会うけど、そういう人がずっとやっていけるんだろうし、うらやましいしかない。
597,-1,今更ながら「昨日なに食べた？」見てる。ペアリングを買うエピソードで微笑ましかったのだけど、地上波でやってる時にバイト先で話題になり、そこで経営者女性(推定70歳)が呟いた一言が離れない。 「気持ち悪いよねぇ〜。」
598,-1,色んな価値観があり、ましてや親を越えて祖父母の世代。分かり合えなくて当然だし、それぞれ好きな思想を持っていい。ただ、接客業で色んな人が出入りするなかで、なんの配慮もなく出た言葉だとしたら悲しい。当事者がそばで聞いてるかもしれないのに。
600,-2,ティッシュひと家族ひとつまでなのに2つ買ってるご老人………………………………お前みたいなののせいでな…………………………………………………………… 
601,-1,これすごい。4ロールで238円。もしかしてシルクでできてる？ 
603,-2,レリックやるか〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜(7日遅れ) 
604,-2,若者のせいがトレンドに上がってるから覗いたらすごい IQ2って感じ 
606,-1,くしゃみした女子高生に怒鳴るおっさんと咳エチケット出来てないおっさんを戦わせて勝負の行方を見守りたいのですが 
607,-1,職場で「インフルだったんだ〜！良かったね〜！」という会話が聞こえてきて、え？？？？？？？？？？？？？？？？？？？？？？？？？？？？？が止まらない 
609,-2,いいぞ〜〜〜〜〜〜〜〜〜〜！！！！！！！！！！！！転売野郎破産しろ！！！！！！！！！！！！！！！！！！バーーーー〜ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーカ！！！！！！！！！！！人の尻なんだと思ってやがんだ一生下痢の時に限ってトイレットペーパー切れる呪いに苦しめ 
610,-1,納豆売ってないってマジ？ 
611,-1,トイぺデマクソ野郎の処分しっかりやって 
614,-1,ミヤネ屋がやったんか〜〜〜〜〜〜〜クソすぎ 
615,-1,シャンプー買い忘れ 
616,-1,納豆ひとつも売ってなくて草 
617,-2,週刊誌が情報源の人って総じてどうしようも無いな 
618,-2,これどうせジジババやんやろな(偏見) 
619,-2,結構子連れ女もこういう支離滅裂クレーム付けてきたりするけど 
620,-2,覚えたての単語で医師と議論しようとする人々、もうちょっとなんかこう……意味をしっかり調べようとしないのかな…まとめサイトや情報サイトの非医療人にも分かりやすく簡略化された説明や素人が適当な妄想で語っている内容だけで戦えると思っているようで見ているだけで恥ずかしい… 
622,-2,県民全員から頭シバかれてほしい 
623,-2,うお〜〜 いいね クソ番組はボコボコに叩いていけ 
628,-2,これ前にもあったよなあ 
629,-2,バカだなあ、バカは勝手にしんでくれればいいけどバカのせいで怪我したりしぬのは本当に嫌 
630,-2,バカのためにコンプレッサー本体に「肛門に空気を注入しないでください。最悪の場合死に至ります」とデカデカド派手な注意書きが必要になるでしょ 
631,-2,もうなんか好きにしてくださいって感じ…… 
632,-2,もう経済の方が心配 
633,-2,複数のバカなジジイのせいで多くの医療従事者の努力が水泡に帰すかもしれない 医療崩壊が起きれば救えるはずだったコロナ以外の患者も救えなくなるかもしれない はァ〜〜〜 
634,-2,当たり前っちゃ当たり前なんだけどまとめサイトとかで新コロ記事取り上げられていると医療の医の字も知らん素人が専門家は信用出来ないとかヤバイヤバイ騒いでいてイライラする 迷惑 
635,-2,群馬県太田市長が新コロ患者の特定可能なレベルの個人情報をツイートしてる　おわっとる 
637,-1,イタリアさすがにヤバいな 
638,-2,自己中の塊かよ マスクの前にタバコやめろや 
639,-1,子宮系界隈is何 
641,-2,こいつ医クラにつっかかってた気がするな 
650,-2,専門家同士で意見が割れるのではなく専門家(笑)に対して感染症専門医が「それは違います」と指摘しているだけ 
651,-2,神様擁護のリプくっそ頭悪そうでイライラしてくる 
653,-2,"PCR検査のキットをインフル迅速検査と同じものと勘違いしている自称""医療現場で働いている垢""がおれは現場にいるから医療にくわしいんだ〜！PCR検査なんて臨床検査技師じゃなくて病院で看護師もチャチャっと検体採ってすぐ結果が分かるんだ〜！検査しろしろ〜！言うてて頭抱えた "
654,-2,というか実際現場で働いていたらそんな余力ないこと分かるはずなので察しって感じ… 
655,-2,あとテレビで和歌山モデルのことやってたんだけどそれについてどう思うかインタビューされた一般の人が「早く見つかれば軽症で済むと思うので良いと思う」と言っていて、全くこの人に非はないが早期発見で早く治療が受けられて軽症で済むというものでは無いということも徹底周知されるべきと思った 
657,-1,きょうさむくね 
658,-2,暇人によるトイレットペーパー買い占めっていつになったら終わるの？一生棚空なんだけど 
664,-1,関電へのヘイトを高めていく 
667,-2,ドラッグストア行くと消毒液ティッシュトイペ売り切れですって貼り紙あるにもかかわらず絶対に「すいませーん！消毒液ある？？！」「トイレットペーパーないの？」ってわざわざクソデカボイスで店員さんに聞きに行く年配女性いるんだけど確定イベントなんこれは 
670,-1,ウワ〜〜〜〜〜〜〜〜〜ン　朝からそれ正解とかにたまに出てほしい 
671,-1,タクロウ〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜！！！！！！！！！！！ 
674,-2,1万円ちょっとじゃなんも出来ないよあべちゃん！！！！ 
675,-2,新型コロナウイルスによって日本人のバカさが浮き彫りになっているので毎日失望している 日本人こんなにバカだったの？知らなかった 
681,-1,年齢を重ねる毎につまらない人間になっていくってn度目 
685,-1,店員さん呼びましょうか？と聞いてもいやいいですって言われてどーーーしよってかんじ 
690,-2,喋り方キモすぎて5秒で見るのやめちゃった 
691,-2,こんなん前からそうだけど本当に許せないよね メディアの医療デマ発信で割食うのは医療従事者と患者 
693,-2,ツイフェミの味方をするつもりは毛頭ないんだけど、こういう仮想の女性案内員に対してセクハラ質問する奴はどう逆立ちしようがクソキモいことに変わりはないので、うまくいなすような返答を準備するのではなくグロや心霊系のショッキングな画像でも返すように設定しておけばよかったのにとは思います。 
694,-2,可愛いねくらいは別にいいと思うけど結婚してるの？はちょっとキモいしスリーサイズ聞いてんのはキモさがカンストしてる 
699,-1,腹具合よろしくないな 
705,-1,リヘナラドールキモすぎて泣いちゃう 
706,-1,終わってしまった…… 
708,-2,これマジでキッツイな伊藤隼也wwwwww 
709,-2,ネトゲ出会い厨の定義は出会い目的にネトゲをやっているとか相手が嫌がってるのに言いよるとかだと思います 
711,-2,真っ当な理由で受給している人もまとめて生保という言葉を使って差別する医療従事者ヤバすぎん？病気や怪我で働けなくなっても自分が生きるために人の稼いだ税金で生きながらえる後ろめたさを感じながら生保一括りに批判される苦しみを是非味わってみてほしいな 
712,-2,あのねこれ個人だけの問題じゃなくて親が働けなくなって生保受けないといけなくなった子供に対しても言えんの？って感じなんすよね 
713,-2,不正受給者を指して批判したいのは分かるよ けどそれならきちんと正確な言葉を使わないと 
715,-1,コントロール良好な喘息患者が重症化してえくも使ってるって聞いてドキッとするなどしている 
723,-1,冷食売ってなくて草 
724,-2,肉も売ってねえ 
725,-2,もうすごいな 意味不明なんだけどなんで2Lペットボトル大量購入してる人いるんだろう 
726,-1,ハア〜褒めて欲しいな 
727,-1,うわあ卵もないじゃん 
728,-1,今差し迫っているのは感染者拡大による医療崩壊の危機でしょ 
729,-2,別にウイルス単体の毒性が高まった訳でもないのにデマ撒いたり過剰に騒ぎまくってた某大型保守垢をマンセーする人々…… 
731,-1,トイペと違って食品は腐るから買い占めそんなに長引きはしないだろうというのが救いよな 
732,-1,バイオ4面白かったからRE:2買ったんだけど4に比べて難易度まるで違うし怖すぎて夜にできない 
733,-1,バイオ4はまだ爽快ガンアクションゲーだった 2は怖すぎる 
734,-1,ロッカー開けたらアイテムあるかと思いきやゾンビが倒れてきた時はマジでちびった 
737,-1,志村けん ECMOで延々サーチかけていちいち突っかかってる暇人おるんだなあ 
738,-1,バイオRE:2本当にメンタル削れる 
742,-2,フェミさん害悪すぎるで… 
743,-1,家寒すぎてサムスになったわね 
746,-1,看護師です。今から出勤です。に加えオメェの顔覚えたからなとまで言わなかったこの看護師さんクッソ菩薩やな 
747,-2,東京から逃げ出すバカ増える前にとっとと封鎖してほしい 他県に迷惑かけんな 
748,-2,パチ屋の分煙ボード、飛沫防止には良いだろうけど分煙にはならんだろ…… 
753,-1,俺はコロナだ男さんも愛知なのwww 
755,-1,リッカーやタイラント(？)よりゾンビの方が余程怖い…… 
756,-1,画像検索だけかけたらタイラントらしかった な〜んだもっと怖いと思った 
757,-1,エイダに替わってからシビアすぎて泣いてる ストレスのあまり吐きそう 
758,-1,ほ〜んと みんな医療従事者に迷惑かけないようにしような 
759,-2,うわ志村けん 
760,-2,亡くなってしまったか 
761,-2,医療従事者が淡々と現場での危機感を発信するのはいいと思うけど本人が個人的にパニってんのをツイートすんのは良くないと思うわ 
762,-1,いやそれで花見してるパリピやパチ並び1億年やってる人達が家にひきこもってくれんならいいと思うけど 
763,-2,若者で基礎疾患無ければ致死率低いことに変わりはないけど重症化しやすい人にうつすリスクやそれで病床が埋まって医療機関がてんやわんやな時にくじ引き低確率で健康な自分が重症化した時に適正な医療を受けられない可能性とかやっぱ考えないんやろなあ 
764,-1,いや外出て遊んでるの若者だけじゃないけどさ 高齢者には特に危機感持ってもらいたいよ… 
765,-1,婚活上手くいかないおじさんにありがち 
767,-1,失神ゲームは日本でもやっとるけどな 
772,-1,言いがかりすぎてワロタ 10kgまでは日常で買うでしょ 
773,-1,咳から血の匂いしてやっとアレなんか流石におかしい？みたいになって受診するという 
774,-1,こういうの正味買う方も買う方だわと思ってしまう 
775,-1,まあそういうこと分からない人のために薬機法があるわけだけれども… 
776,-1,アッヒョヒョ！！！ファ〜〜〜〜〜〜〜〜！！！！！！！！！！！！！みたいな鳴き声しとる 
777,-1,下の階のパリピ男女の笑い声いっつもうるさいからトロンボーン買って重低音を床に向かってお見舞したい 
778,-1,反ワクがどういう反応するか見たいから早く新コロワクチン出来上がって欲しい 
779,-1,レオン編終わった〜〜〜〜〜〜 長すぎる 
780,-1,長かった…… 
781,-2,志村けん、流石に骨壷の状態で抱えられているのを見るとショックだな…… 
783,-1,バイオre2はもうやりたくない………怖すぎるし初見殺し多すぎた……re4待ってます……………… 
787,-2,半沢延期でショック受けて寝込んでる 
789,-1,1度ウケた喜びを忘れられないのか同じネタを何回も繰り返して飽きられているのに段々ウザがられていくことにも気が付かないおたくの典型例 
790,-1,ちょめいなかたがたがにおいやあじがわからないというしょうじょうだけでぽりめらーぜれんさはんのうほうによるけんさをうけられているの、じょうきゅうこくみんだからどうとかではなく、かんせんけいろがおおっぴらにいえないからそういうことにしているといっているひとがいて、ああ〜〜なるほどって 
791,-1,ようちえんのともだちがいってました。 
792,-1,国籍確認中がそのまま外国籍の人なのかは分からないとして 日本国籍が確定している人の新規感染者数が横ばいなのに国籍非公開とか確認中がグッと伸びてるの謎だな… 
793,-1,多分こういうことではあるんだろうけどこれでDgSのマスク買い占め抑制に効果があるかは…… 
794,-1,か、もしくはもうほぼ民間に流通しないからこれで我慢してくれ、なのか 
795,-2,今日だけ出社って先週言われてたんだけど方針変わって今週全休だったの連絡来てなくて出社したら誰もいなかったんだよ 腹立つからたぴ買って帰るわ 
796,-1,いやたぴやめとこか… 
