positive,text
1,今日の月も白くて明るい。昨日より雲が少なくてキレイな〜 と立ち止まる帰り道。チャリなし生活も悪くない。
1,やばい。おもろいな〜思ってみてみた「シャレードがいっぱい」。よすぎるやん。
1,久々に自炊した。最近すごくやせたと評判なので、ごはんがすすむおかずをたんと。二膳半たべた。よしっ!
1,昔夢を語った仲間と数年ぶりの再会!相変わらず、だったけど少し大人になっていた僕ら、だった。それぞれの道で頑張っててきっと色々あるけど、昔みたいに笑える時間が嬉しかった。昔見た未来まであと4年。がんばろ。
1,みんな幸せになったらいいなって、なんか普通にそう思う。日曜と月曜と火曜会った人たちありがとう。また明日からがんばろう。オヤスミナサイ
2,回鍋肉を作るつもりで何か違うやつになった。でもウマい!ウマすぎるぜ回鍋肉じゃないやつ!!
2,朝はパンケーキとサンドイッチ、昼はお弁当とサンドイッチ、夜は回鍋肉とごはんとパンケーキ。昨日焼いたチョコケーキがもう残り30度…好きなものを好きなときにたべるんだ!明日も焼こ。
1,ヤバい!2700のBO0WY!!
2,ごくありきたりで俗っぽくて申し訳ないのですが、ミランダ・カーめっちゃ可愛い!めっちゃ好き!いつまでも見てられる…お子様もまたデカくて可愛いんだ!
1,うどんとラーメンハシゴしておなかパンパン!初、丸亀製麺からの彦ェ門!あっさりとんこつで完食!その筋では有名店らしい
2,腰が痛い日々を送っています。色んなことが段々面倒になってきた。昨日の晩から数えて初めての食事。エビマヨ!アボカド!サーモン!鶏トマト煮!ふじいちでカロリーを取り戻す!
1,天王寺ぶらり。あわよくば映画みてやろ〜!程よくおなかも空いてきたし、一人でもいけそーないい感じの店あったら教えて〜!
1,こんな時間に鴨つけうどん!ゆずピール入ってて結構おいしい!やるななか卯。
1,今週も終わった!そして今から休みだ!明日は祝日か〜何しよどこいこ!
1,高校生みてると、笑顔可愛いな〜とかなんかニヤけてしまう。失われた青春を取り戻すようにかぶりつく私。祝日の風景。
1,本が好きだ。いや、立ち読み、流し読み、本に囲まれているのが好きだ。standardbookstoreが近所にあったら、住むかもしれない。
1,ノーベル賞山中さんに興味津々。朝からいろんな番組を見ているけど、まず目につくのはユーモアたっぷりでにこやかに話す奥さん。会見ではまじめな印象が強かったけど、きっとご本人もユーモア溢れる方なのだろう。二人がどんな風に愛を育んできたのかが気になる。
1,お客さんが切れない。ありがたいけどお腹すいた…ラスト一人がんばる!!
1,キョンキョンのアレ見逃すとこだった！あっぶね！ワンセグよありがとう！
1,今日は頑張った…ただいま我が家。散らかってるのももはや愛おしい。…でも片づけよ。
2,職場でお寿司連れてってもらってお腹パンパン！デザートまで出してもらって大満足。苦しくなるほど食べられるなんて幸せじゃないか。
2,住む家がある、職がある、ちゃんと靴を履いて、毎日食べられる。離れていても家族や友達がいる。なんだ、必要なものは十分にあるじゃないか。
1,めっちゃ丁度いい光が部屋の窓から差し込む。こうして絵でも描いて暮らしたい。
2,休み前の晩にパジャマにメガネでてんこ盛りのご飯やいろんなおやつを食べながらテレビ見たりネットしたり、そうして時間に関わらず眠くなったらそのまま寝るのが最高に幸せ
1,友達がハワイで挙式して、森で撮った写真がすごく素敵で羨ましかった。長い髪はゆる巻きダウンにして、お花の冠とベールをつけてるかんじ。木漏れ日を見上げる姿が可愛かったなぁ。
1,今日また、ふらりと入れる店が増えた。お酒もご飯も美味しかったし、何より、何となく温かい店だった。
1,ハモネプ好き。
1,まさかのアッコとコラボ!でもカッコいいぜアッコ!!
1,ドラムのひとちゃんと正装してる！と思ったらやっぱり短パン!!笑
1,の、前に、柿をガブガブ食べてやった！
1,ホットカーペットに寝っ転がってうとうとするのサイコー。
1,オムライスでもいいなぁ〜♪
1,仕事納め!がんばろ！
1,よっしゃ〜終わった！お腹すいた〜！
1,帰省の車内で可愛コちゃんに声をかけられた。「お隣いいですかぁ(^▽^)？」かっ可愛い！是非座ってほしかったけれど、先客がいたので断念。うぅ、無念…。 あ、明けましておめでとうございます☆こんな感じで本年もぬるっと行きますのでよろしくお願い致します。
1,凧上げのたこが電線に巻き付いて電車とまる。正月っぽいね〜
1,休み明けに「雰囲気変わったな!」てなるの好き。明日からまた頑張ります!!オヤスミナサイ
1,えべっさん行きたい行きたい！いやほんまはそうでもないんやけど、せっかくやし…
1,うまいやん！spa王のフェットチーネうまいやん！泣けるやん！
